symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_currency,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
7012.T,7012.T,7012.T,bottleneck-sectors;market-snapshot,True,,JPY,2850.0,2076.0,27.23,JPY,2670000000000.0,16821000000.0,2026-06-03T00:07:27+00:00,2026-06-02,https://finance.yahoo.com/quote/7012.T/,https://query1.finance.yahoo.com/v8/finance/chart/7012.T?range=ytd&interval=1d,
7735.T,7735.T,SCREEN Holdings,semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,JPY,11315.0,7620.0,41.44,JPY,2122000000000.0,13368600000.0,2026-06-02T06:30:00+00:00,2026-06-02,https://finance.yahoo.com/quote/7735.T/,https://query1.finance.yahoo.com/v8/finance/chart/7735.T?range=ytd&interval=1d,
7911.T,7911.T,7911.T,bottleneck-sectors;market-snapshot,True,,JPY,4577.0,4661.0,-1.78,JPY,1302448632128.0,8205426382.41,2026-06-03T00:07:26+00:00,2026-06-02,https://finance.yahoo.com/quote/7911.T/,https://query1.finance.yahoo.com/v8/finance/chart/7911.T?range=ytd&interval=1d,
8035.T,8035,Tokyo Electron,beneficiaries;bottleneck-sectors;companies;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,JPY,57050.0,34320.0,54.48,JPY,24134213337640.0,152045544027.13,2026-06-03T00:07:27+00:00,2026-06-02,https://finance.yahoo.com/quote/8035.T/,https://query1.finance.yahoo.com/v8/finance/chart/8035.T?range=ytd&interval=1d,
8046.TW,8046,Nan Ya PCB,beneficiaries;bottleneck-sectors;companies;market-snapshot,True,,TWD,862.0,241.0,263.71,TWD,584779765735.0,18595996550.37,2026-06-02T05:30:09+00:00,2026-06-02,https://finance.yahoo.com/quote/8046.TW/,https://query1.finance.yahoo.com/v8/finance/chart/8046.TW?range=ytd&interval=1d,
8147.TWO,8147.TWO,Nextronics Engineering,robotics,True,,TWD,168.0,104.5,57.75,TWD,7094783500.0,225614115.3,2026-06-02T05:30:23+00:00,2026-06-02,https://finance.yahoo.com/quote/8147.TWO/,https://query1.finance.yahoo.com/v8/finance/chart/8147.TWO?range=ytd&interval=1d,
9660.HK,9660.HK,Horizon Robotics,robotics,True,,HKD,5.52,8.61,-38.6,HKD,79124456894.0,10096280699.67,2026-06-02T08:08:45+00:00,2026-06-02,https://finance.yahoo.com/quote/9660.HK/,https://query1.finance.yahoo.com/v8/finance/chart/9660.HK?range=ytd&interval=1d,
9868.HK,9868.HK,XPeng,robotics,True,,HKD,72.0,79.05,-10.39,HKD,129599793495.0,16536933649.96,2026-06-02T08:08:45+00:00,2026-06-02,https://finance.yahoo.com/quote/9868.HK/,https://query1.finance.yahoo.com/v8/finance/chart/9868.HK?range=ytd&interval=1d,
9880.HK,9880.HK,UBTECH Robotics,robotics,True,,HKD,114.3,126.3,-12.75,HKD,53813606773.0,6866616224.23,2026-06-02T08:08:45+00:00,2026-06-02,https://finance.yahoo.com/quote/9880.HK/,https://query1.finance.yahoo.com/v8/finance/chart/9880.HK?range=ytd&interval=1d,
AALB.AS,AALB.AS,Aalberts,latent-ai-nodes,True,,EUR,39.08,28.06,37.03,EUR,4072420303.0,4736632054.42,2026-06-02T15:35:09+00:00,2026-06-02,https://finance.yahoo.com/quote/AALB.AS/,https://query1.finance.yahoo.com/v8/finance/chart/AALB.AS?range=ytd&interval=1d,
AAOI,AAOI,Applied Optoelectronics,beneficiaries;companies;market-snapshot;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,USD,202.37,34.86,411.04,USD,16239000000.0,16239000000.0,2026-06-02T20:00:00+00:00,2026-06-02,https://finance.yahoo.com/quote/AAOI/,https://query1.finance.yahoo.com/v8/finance/chart/AAOI?range=ytd&interval=1d,
AAON,AAON,AAON,bottleneck-sectors;market-snapshot,True,,USD,143.5,76.25,81.21,USD,11754000000.0,11754000000.0,2026-06-02T20:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/AAON/,https://query1.finance.yahoo.com/v8/finance/chart/AAON?range=ytd&interval=1d,
